stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8711616,"PROVINS",,48.555852,3.302707,,,1,
StopArea:DUA8727152,"MITRY CLAYE",,48.975894,2.643222,,,1,
StopArea:DUA8727204,"COMPANS",,48.991391,2.66506,,,1,
StopArea:DUA8727205,"THIEUX NANTOUILLET",,49.008114,2.680252,,,1,
StopArea:DUA8727153,"DAMMARTIN JUILLY SAINT-MARD",,49.032577,2.699061,,,1,
StopArea:DUA8727155,"LE PLESSIS BELLEVILLE",,49.096121,2.744686,,,1,
StopArea:DUA8727157,"NANTEUIL LE HAUDOIN",,49.142827,2.794553,,,1,
StopArea:DUA8727158,"ORMOY VILLERS",,49.200877,2.838108,,,1,
StopArea:DUA8727159,"CREPY EN VALOIS",,49.231222,2.888467,,,1,
StopArea:DUA8727103,"GARE DE PARIS NORD",,48.880223,2.356527,,,1,
StopArea:DUA8775802,"NANTERRE PREFECTURE",,48.89616,2.222161,,,1,
StopArea:DUA8775800,"CHARLES DE GAULLE ETOILE",,48.873947,2.295343,,,1,
StopArea:DUA8775859,"AUBER",,48.871725,2.331845,,,1,
StopArea:DUA8775860,"CHATELET LES HALLES",,48.861637,2.347029,,,1,
StopArea:DUA8775810,"NATION",,48.848487,2.396492,,,1,
StopArea:DUA8775811,"VINCENNES",,48.847518,2.433204,,,1,
StopArea:DUA8711371,"VAL DE FONTENAY",,48.85313,2.487841,,,1,
StopArea:DUA8743317,"NEUILLY PLAISANCE",,48.853047,2.514691,,,1,
StopArea:DUA8775832,"BRY SUR MARNE",,48.844332,2.526068,,,1,
StopArea:DUA8775833,"NOISY LE GRAND MONT D'EST",,48.840838,2.552423,,,1,
StopArea:DUA8775834,"NOISY CHAMPS",,48.842687,2.578754,,,1,
StopArea:DUA8775835,"NOISIEL",,48.843652,2.615951,,,1,
StopArea:DUA8775836,"LOGNES",,48.839176,2.633452,,,1,
StopArea:DUA8775837,"GARE DE TORCY",,48.838991,2.654734,,,1,
StopArea:DUA8775498,"BUSSY SAINT-GEORGES",,48.836534,2.70902,,,1,
StopArea:DUA8773006,"VAL D'EUROPE",,48.855179,2.773684,,,1,
StopArea:DUA8775499,"MARNE LA VALLEE CHESSY",,48.871125,2.783782,,,1,
StopArea:DUA8775808,"LE VESINET LE PECQ",,48.897521,2.121728,,,1,
StopArea:DUA8775807,"LE VESINET CENTRE",,48.890002,2.134503,,,1,
StopArea:DUA8775806,"CHATOU CROISSY",,48.885284,2.155378,,,1,
StopArea:DUA8775805,"RUEIL MALMAISON",,48.887212,2.17221,,,1,
